Quantity,Price,Temp,Rainfall,Log_Price,Log_Quantity
12387000.0,112.26083333333332,7.308333333333334,214.0,4.720825032730161,16.332158093536336
14568000.0,79.61708333333334,9.283333333333333,183.7,4.377228684564257,16.49433790038958
13916100.0,59.65625,10.983333333333333,261.0,4.088598920926021,16.44855700120113
10326100.0,81.37083333333334,11.008333333333333,147.1,4.399016895940791,16.150185228666917
11784100.0,102.22749999999999,10.883333333333333,262.8,4.627200721808844,16.28226172317142
13441400.0,87.67666666666668,10.233333333333333,107.8,4.47365580544541,16.413850054300973
11617300.0,73.64,9.775,226.4,4.299188356364877,16.268005924385292
11031500.0,73.19583333333333,9.833333333333332,286.5,4.293138497671392,16.216265374730565
12972100.0,72.23958333333334,8.799999999999999,487.6,4.279988141281096,16.378311455291133
11692000.0,76.63374999999999,9.758333333333333,155.0,4.33903758023283,16.274415405213272
13032500.0,113.495,8.941666666666666,254.6,4.731758783087665,16.3829567956244
15562000.0,135.40666666666667,8.700000000000001,146.9,4.90828259609523,16.56034260315901
13533900.0,107.34958333333334,10.458333333333332,153.0,4.67609064293238,16.42070820694843
12708700.0,101.84791666666666,10.708333333333334,209.7,4.623480687546248,16.35779735626653
13196000.0,86.06916666666666,9.716666666666667,209.5,4.455151236572763,16.395424311330608
13228600.0,84.01166666666666,9.225,104.0,4.430955678088034,16.397891710385977
10845600.0,115.7575,10.799999999999999,73.5,4.7514974856836645,16.199270025747317
7467700.0,147.07875,9.941666666666666,386.3,4.99096815762078,15.826097611438893
12164200.0,122.93083333333334,10.0,67.3,4.811621866581949,16.314007769604107
12556700.0,104.83875,9.141666666666667,225.2,4.652423455453947,16.345764945628925
11677600.0,81.81333333333333,9.75,511.0,4.404440229510782,16.273183034798507
9573100.0,92.49666666666667,9.316666666666668,161.5,4.52717260783303,16.0744676399201
