Year,Mean Min Temp (°C) (SAS),Mean Min Temp (°C) (ALB),Total Rain (mm) (SAS),Total Rain (mm) (ALB)
1985.0,2.2166666666666663,12.4,214.0,214.0
1986.0,3.7833333333333337,14.783333333333333,183.7,183.7
1987.0,5.45,16.516666666666666,261.0,261.0
1988.0,5.516666666666667,16.5,147.1,147.1
1989.0,5.533333333333334,16.23333333333333,262.8,262.8
1990.0,5.083333333333333,15.383333333333333,107.8,107.8
1991.0,4.416666666666667,15.133333333333333,226.4,226.4
1992.0,4.883333333333334,14.783333333333333,286.5,286.5
1993.0,3.8166666666666664,13.783333333333333,487.6,487.6
1994.0,3.8333333333333335,15.683333333333332,155.0,155.0
1995.0,2.9333333333333336,14.950000000000001,254.60000000000002,254.60000000000002
1996.0,3.0833333333333335,14.316666666666668,146.9,146.9
1997.0,4.333333333333333,16.583333333333332,153.0,153.0
1998.0,5.166666666666667,16.25,209.7,209.7
1999.0,3.8166666666666664,15.616666666666667,209.5,209.5
2000.0,3.266666666666667,15.183333333333332,104.0,104.0
2001.0,4.083333333333333,17.516666666666666,73.5,73.5
2002.0,4.316666666666666,15.566666666666668,386.3,386.3
2003.0,3.516666666666667,16.483333333333334,67.3,67.3
2004.0,3.6666666666666665,14.616666666666667,225.20000000000002,225.20000000000002
2005.0,4.183333333333333,15.316666666666668,511.0,511.0
2006.0,3.4166666666666665,15.216666666666667,161.5,161.5
