Year,Barley Price (SAS),Barley Price (ALB)
1985.0,108.69333333333333,115.82833333333333
1986.0,77.92416666666666,81.31
1987.0,58.69,60.6225
1988.0,80.87416666666667,81.86749999999999
1989.0,102.31166666666667,102.14333333333333
1990.0,84.74583333333334,90.6075
1991.0,71.6425,75.6375
1992.0,69.42666666666666,76.96499999999999
1993.0,68.31,76.16916666666667
1994.0,72.09,81.1775
1995.0,106.55333333333333,120.43666666666667
1996.0,128.77083333333334,142.0425
1997.0,102.19749999999999,112.50166666666667
1998.0,98.25,105.44583333333333
1999.0,84.0175,88.12083333333334
2000.0,79.08166666666666,88.94166666666666
2001.0,108.42833333333333,123.08666666666666
2002.0,139.95916666666668,154.19833333333332
2003.0,112.54416666666667,133.3175
2004.0,96.38583333333334,113.29166666666667
2005.0,71.83916666666666,91.78750000000001
2006.0,83.18666666666667,101.80666666666667
2007.0,138.8275,150.92875
